Raw Serial Number,Commit Message,DEMPE Function Class,Relabeled DEMPE Class
6,refactor improve api,1,1
6,refactor improve public api,1,1
6,refactor remove unnecessary getters,1,1
6,refactor change detection of external scroll,1,1
6,refactor move element function logic to scrollelement,1,1
6,refactor improve api,1,1
6,refactor rename elementrelativeposition relativeelementposition,1,1
6,refactor fix codeclimate issues,1,1
12,refactor change animationmanager,1,1
12,refactor remove tests,1,1
12,refactor change position to scrollposition,1,1
30,refactor improve engine,1,1
30,refactor add partialrecursive for settings,1,1
30,refactor add default settings file,1,1
30,refactor remove value from options,1,1
30,refactor export default windowscrollmanager,1,1
61,refactor remove unused field serviceworkermainweak_factory_,1,1
61,refactor remove unused field serviceworkermainweak_factory_,1,1
62,refactor remove unused method electronbrowsercontextgetweakptr,1,1
62,refactor use forward declaration of mediadeviceidsalt in electron_browser_contexth,1,1
62,refactor remove unused include from browser_contexth,1,1
62,refactor remove unused electronbrowsercontextgetweakptr,1,1
63,refactor use default to define trivial destructors,1,1
63,refactor use default to define trivial destructors,1,1
65,refactor reduce coupling in electronapiprotocol,1,1
65,refactor decouple apiprotocol from electronbrowsercontext,1,1
65,refactor make electronapiprotocolerror private,1,1
65,refactor remove unused isolate arg in protocol constructor,1,1
65,refactor use default for trivial destructor,1,1
69,refactor use upstream widgetisvisibleonallworkspaces,1,1
69,refactor use upstream widgetisvisibleonallworkspaces,1,1
70,refactor make urlpipeloader private,1,1
71,refactor add electronbrowsercontextbrowsercontexts,1,1
71,refactor add electronbrowsercontextbrowsercontexts,1,1
71,refactor use electronbrowsercontextbrowsercontexts in electronbrowsermainpartspostmainmessagelooprun,1,1
71,refactor use electronbrowsercontextbrowsercontexts in electronextensionsbrowserclientisvalidcontext,1,1
71,refactor use electronbrowsercontextbrowsercontexts in electronextensionsbrowserclientbroadcasteventtorenderers,1,1
71,refactor move partitionkey browsercontextmap private,1,1
71,refactor add electronbrowsercontextisvalidcontext,1,1
72,refactor use basenumbertostring,1,1
73,refactor remove tovisolate const char,1,1
85,refactor add electronbrowsercontextgetdefaultbrowsercontext,1,1
85,refactor add electronbrowsercontextdestroyallcontexts,1,1
85,refactor add electronbrowsercontextgetdefaultbrowsercontext,1,1
86,refactor use getdefaultstoragepartition instead of getstoragepartitionnullptr,1,1
86,refactor use getdefaultstoragepartition,1,1
130,build update publish configuration,4,4
147,ci updates test matrix to include nodejs distributions across multiple os,4,4
170,refactor replace sourcemap with jridgewelltracemapping,1,1
